gene.id	SYMBOL	logFC	AveExpr	P.Value	adj.P.Val
11488	Adam11	-2.30291475023895	7.2482451943044	1.72143546169347e-08	1.18278751857827e-06
210044	Adcy2	-2.40941912755329	5.9163367084139	1.72640093196547e-08	1.18278751857827e-06
14628	Ostm1	-2.84589203093514	5.21828006655222	1.72947713195225e-08	1.18278751857827e-06
109676	Ank2	-2.920717463311	8.54475366107982	1.74183701955363e-08	1.18278751857827e-06
329942	Csmd2	-3.93315946556126	3.87445085161566	1.74354470659439e-08	1.18278751857827e-06
26941	Slc9a3r1	2.78913957681664	4.70206844466063	1.76211892011367e-08	1.18809277389882e-06
233744	Spon1	-2.90398898681015	5.01001559311677	1.76804484112418e-08	1.18809277389882e-06
58994	Smpd3	-2.58091005761764	6.11934136143829	1.79211716032418e-08	1.19498235707895e-06
194401	Mical3	-3.01537478470306	5.71371775432376	1.79507387628033e-08	1.19498235707895e-06
94109	Csmd1	-3.89818747237675	4.4227697576713	1.81047577717873e-08	1.19649299875828e-06
52837	Tmx4	-2.5095984138112	6.91576407170795	1.82180914310738e-08	1.19649299875828e-06
231659	Gcn1l1	-2.91082577176017	5.50758287979939	1.82753620539866e-08	1.19649299875828e-06
237553	Trhde	-2.96109834885655	4.90690223882661	1.8321361615627e-08	1.19649299875828e-06
226922	Kcnq5	-2.80336637575881	6.24329180169268	1.84699073312276e-08	1.19649299875828e-06
19122	Prnp	-2.435386665905	9.19661743522745	1.85807935461996e-08	1.19649299875828e-06
58998	Nectin3	-3.49013628067978	4.77427471674739	1.86180609705794e-08	1.19649299875828e-06
239393	Lrp12	-2.87236298339393	4.92964567845407	1.87589078989506e-08	1.19649299875828e-06
106947	Slc39a3	-2.81017177144742	5.25752845240379	1.88116177327341e-08	1.19649299875828e-06
12294	Cacna2d3	-2.46687882134637	5.74964327980945	1.88133112257374e-08	1.19649299875828e-06
52850	Sgsm1	-2.6321529557199	6.02046940641227	1.91945135840381e-08	1.2121205019031e-06
12497	Entpd6	-2.67636940368943	5.18053681072979	1.92552684314123e-08	1.2121205019031e-06
13007	Csrp1	2.34793232246118	6.94069283661824	1.93142884972626e-08	1.2121205019031e-06
20564	Slit3	-3.90450415810272	3.85017654092779	1.94159392915348e-08	1.21315557520704e-06
13848	Ephb6	-2.90205312799247	5.01992856850806	1.97053446210421e-08	1.22586174441645e-06
72003	Synpr	-2.34776767565516	6.45624112453124	2.01637115228678e-08	1.24782903452645e-06
64085	Clstn2	-2.90390140780027	6.50900550465314	2.02336450214523e-08	1.24782903452645e-06
20527	Slc2a3	-2.33543625391835	6.19358353001312	2.03963107500462e-08	1.25105230250716e-06
15357	Hmgcr	-3.13244049885625	5.00892786011301	2.04615461521948e-08	1.25105230250716e-06
207182	Ggt7	-2.3933844331354	5.88454421737005	2.0924890238208e-08	1.27261998559677e-06
226407	Rab3gap1	-2.380764716487	6.3040575780406	2.09929591896141e-08	1.27261998559677e-06
20981	Syt3	-2.59170156703451	5.56703047289677	2.11065202849235e-08	1.27408257618229e-06
12558	Cdh2	-2.59808096379155	5.93163923488456	2.12061394934068e-08	1.27469478153195e-06
11804	Aplp2	-3.27507665970278	7.80337647426108	2.156588207545e-08	1.29087208423051e-06
240843	Brinp2	-2.39697970336075	5.80997675750047	2.16972485322833e-08	1.29330126607075e-06
100019	Mdn1	-4.46584281069664	3.86402471314136	2.1893125777755e-08	1.29953945762457e-06
20977	Syp	-2.735055938306	10.0905997230659	2.21816768173346e-08	1.3112040163475e-06
234214	Sorbs2	-2.48819273884668	6.36987630783451	2.24396088571974e-08	1.31455758835267e-06
50914	Olig1	2.24799372832549	6.27414468523953	2.25623955872765e-08	1.31455758835267e-06
69981	Tmem30a	-2.53467623412756	8.08273162530507	2.26063703725416e-08	1.31455758835267e-06
81840	Sorcs2	-3.09996147321793	4.44699001152341	2.26519070306288e-08	1.31455758835267e-06
23948	Mmp17	-2.51348016387697	7.39151685666537	2.27236700419404e-08	1.31455758835267e-06
330814	Adgrl1	-2.35662235195968	7.92615573563821	2.27920626367478e-08	1.31455758835267e-06
192167	Nlgn1	-2.78792069795596	5.18594384261812	2.31093146833929e-08	1.32110287881696e-06
19231	Ptma	2.25913432546915	8.27276193117225	2.31139626055474e-08	1.32110287881696e-06
77053	Sun1	-2.74343675861501	4.94588389024224	2.31837512076541e-08	1.32110287881696e-06
20192	Ryr3	-3.81815371919291	4.4432816841926	2.33413695473945e-08	1.32478546044694e-06
338370	Nalcn	-3.4041204296077	5.3711142658739	2.34657810307499e-08	1.32525395063758e-06
16170	Il16	-2.86045953479943	5.55177469977187	2.35356766468699e-08	1.32525395063758e-06
11941	Atp2b2	-2.33281434756447	7.55034340315905	2.38144523243582e-08	1.33567199926302e-06
235574	Atp2c1	-2.31624973235221	6.36287947813693	2.41567199123809e-08	1.34955541910501e-06
16508	Kcnd2	-2.31788733950986	6.2519543891653	2.43082514972029e-08	1.35078094031768e-06
12955	Cryab	2.48030243639104	6.03848371383669	2.44541116240446e-08	1.35078094031768e-06
330790	Hapln4	-2.25784905012423	6.66382842877319	2.44631112313604e-08	1.35078094031768e-06
23792	Adam23	-2.79033175273609	5.96759886951233	2.45804893897444e-08	1.35202182180038e-06
13138	Dag1	-2.72032186612347	4.89605756640694	2.47514364584434e-08	1.35618832225763e-06
29808	Mga	-3.15440207889564	4.84696025680407	2.64873699257903e-08	1.44323582559576e-06
12661	Chl1	-2.64975254898867	6.38727044188318	2.66792821422569e-08	1.44323582559576e-06
11432	Acp2	-3.00249277349642	5.06635273289675	2.67442778345938e-08	1.44323582559576e-06
54338	Slc23a2	-2.67894904508258	5.64243539669949	2.67453501303721e-08	1.44323582559576e-06
67451	Pkp2	-2.46977657906744	5.41277618780856	2.69703754996871e-08	1.44988667686243e-06
17222	Anapc1	-2.78901618924177	5.55238103195721	2.72410235048397e-08	1.45893090545092e-06
19090	Prkdc	-3.32324233087581	3.53012382964774	2.76305074551056e-08	1.47424797455219e-06
16590	Kit	-2.83674250327903	5.3864299414585	2.77613385653715e-08	1.47570160150105e-06
67887	Saraf	-2.38586350836455	7.11950977720838	2.79755349606069e-08	1.47705088805523e-06
386753	Dbpht2	2.48056648757675	5.1298972676473	2.79940853414931e-08	1.47705088805523e-06
213469	Lgi3	-2.41370376307799	5.99644400407722	2.84541152418773e-08	1.48540994499069e-06
110350	Dync2h1	-3.71926132982335	3.87001982198417	2.84614545263974e-08	1.48540994499069e-06
140559	Igsf8	-2.23415499624606	6.72042480766265	2.86571853708221e-08	1.48540994499069e-06
235623	Scap	-2.53965053332771	5.08090018587608	2.87488384909631e-08	1.48540994499069e-06
71169	Nbas	-3.07256586392356	4.27285425376602	2.8773488857811e-08	1.48540994499069e-06
233878	Sez6l2	-2.20076543399682	7.37677563968167	2.87781233200498e-08	1.48540994499069e-06
14073	Faah	-2.24645100407883	6.6348267993415	2.92807411891286e-08	1.50589689162572e-06
66673	Sorcs3	-3.29864826278499	4.1039929840981	2.97894390017502e-08	1.52654801445659e-06
98682	Mfsd6	-2.2810704265225	6.0248501858523	2.99936533620665e-08	1.53003096826263e-06
19276	Ptprn2	-2.15845654542204	7.45803385078504	3.00722077153963e-08	1.53003096826263e-06
75605	Kdm5b	-2.38006918356517	5.88350944777474	3.04896698422563e-08	1.5407416549405e-06
68526	Gpr155	-2.63553315129782	5.20883460690573	3.05043939780271e-08	1.5407416549405e-06
12876	Cpe	-2.4547019453668	10.4386575322195	3.0607180145175e-08	1.5407416549405e-06
11496	Adam22	-2.44835402951283	6.43860113709806	3.09036186445364e-08	1.55018644792276e-06
20355	Sema4f	-2.69617551216024	4.95369450706678	3.1126748633198e-08	1.55491220637582e-06
56784	Ralgapa1	-2.4087762441497	6.96948317251144	3.12161231941236e-08	1.55491220637582e-06
13669	Eif3a	-2.38591527844332	7.49434242215628	3.14940746881656e-08	1.56329124741326e-06
71853	Pdia6	-2.71931717558759	5.59445630421684	3.17832329270104e-08	1.56774985156414e-06
